decision;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;has-ring;habitat;season
p;3,7;f;d;b;f;x;c;y;4,66;2,98;b;s;n;f;l;a
p;3,46;f;d;n;f;x;c;y;4,15;2,89;b;s;n;f;d;a
p;3,24;f;d;n;f;x;c;w;4,16;2,84;b;s;n;f;l;u
p;3,98;f;d;n;f;x;c;w;4,87;3,04;b;s;n;f;l;u
p;3,86;f;d;b;f;x;c;w;4,09;3;b;i;n;f;d;a
p;4,14;f;d;b;f;x;c;w;4,45;3,23;b;s;n;f;l;u
p;2,75;f;d;b;f;x;c;w;3,44;2,55;b;s;n;f;d;u
p;3,96;f;d;b;f;x;c;w;4,57;3,03;b;s;n;f;d;u
p;4,18;f;d;n;f;x;c;w;4,72;3,25;b;i;n;f;l;u
p;3,61;f;d;b;f;x;c;w;4,09;3,44;b;s;n;f;l;u
p;3,74;f;d;b;f;x;c;y;4,98;2,9;b;s;n;f;d;u
p;3,69;f;d;n;f;x;c;w;5,78;3,78;b;s;n;f;l;a
p;4,03;f;d;b;f;x;c;w;4,18;2,97;b;s;n;f;l;a
p;4,85;f;d;b;f;x;c;w;5,16;3,64;b;i;n;f;l;a
p;4,03;f;d;b;f;x;c;y;4,6;3,18;b;s;n;f;l;a
p;3,52;f;d;n;f;x;c;y;5,14;2,98;b;s;n;f;d;u
p;3,06;f;d;n;f;x;c;y;4,28;2,73;b;i;n;f;d;a
p;3,43;f;d;n;f;x;c;y;5,37;3,27;b;i;n;f;d;u
p;2,76;f;d;n;f;x;c;w;4,14;3,01;b;i;n;f;d;u
p;3,03;f;d;b;f;x;c;w;5,2;3,69;b;s;n;f;d;u
p;3,33;f;d;n;f;x;c;y;4,24;3,03;b;i;n;f;l;u
p;3,43;f;d;b;f;x;c;w;3,97;3,08;b;s;n;f;l;a
p;3,57;f;d;n;f;x;c;y;3,74;2,54;b;i;n;f;l;a
p;4,11;f;d;n;f;x;c;y;4,14;2,74;b;s;n;f;d;u
p;3,78;f;d;b;f;x;c;w;4,45;3,07;b;s;n;f;d;a
p;3,26;f;d;b;f;x;c;w;4,53;3,48;b;s;n;f;d;u
p;3,58;f;d;n;f;x;c;y;4,67;3,19;b;s;n;f;d;a
p;3,24;f;d;b;f;x;c;w;4,17;3,53;b;i;n;f;l;a
p;2,86;f;d;b;f;x;c;w;4,31;3,13;b;s;n;f;d;a
p;3,66;f;d;b;f;x;c;w;4,02;2,85;b;i;n;f;l;a
p;3,65;f;d;n;f;x;c;w;5,11;3,26;b;s;n;f;l;a
p;3,22;f;d;n;f;x;c;y;4,01;2,79;b;s;n;f;l;a
p;3;f;d;b;f;x;c;y;4,66;2,53;b;i;n;f;d;a
p;3,96;f;d;n;f;x;c;w;4,92;3,02;b;i;n;f;l;u
p;3,01;f;d;b;f;x;c;y;3,77;2,53;b;s;n;f;d;a
p;2,37;f;d;b;f;x;c;w;3,73;2,72;b;i;n;f;d;a
p;3,47;f;d;n;f;x;c;w;4,16;3,08;b;s;n;f;l;a
p;3,73;f;d;b;f;x;c;y;4,3;3,07;b;i;n;f;l;a
p;3,53;f;d;n;f;x;c;w;4,54;3,17;b;i;n;f;d;u
p;2,41;f;d;b;f;x;c;y;3,77;2,25;b;i;n;f;l;u
p;4,58;f;d;b;f;x;c;y;4,08;3,01;b;s;n;f;l;a
p;3,4;f;d;n;f;x;c;w;4,05;3,04;b;s;n;f;l;u
p;3,62;f;d;b;f;x;c;w;4,8;3,28;b;s;n;f;l;a
p;3,26;f;d;b;f;x;c;w;4,79;3,36;b;i;n;f;d;a
p;4,37;f;d;b;f;x;c;y;5,14;3,2;b;i;n;f;l;a
p;3,31;f;d;n;f;x;c;w;3,96;2,65;b;i;n;f;d;a
p;3,83;f;d;n;f;x;c;w;3,56;2,51;b;s;n;f;d;a
p;3,53;f;d;n;f;x;c;y;4,22;2,83;b;i;n;f;d;a
p;3,46;f;d;n;f;x;c;y;4,46;2,83;b;i;n;f;l;a
p;3,32;f;d;n;f;x;c;w;3,6;2,33;b;s;n;f;d;u
p;3,07;f;d;n;f;x;c;w;4,33;2,62;b;s;n;f;d;u
p;3,03;f;d;n;f;x;c;y;3,84;2,68;b;i;n;f;d;a
p;3,36;f;d;b;f;x;c;w;4,1;3,09;b;i;n;f;l;u
p;3,19;f;d;b;f;x;c;w;4,43;2,89;b;s;n;f;d;a
p;3,52;f;d;b;f;x;c;w;4,08;2,75;b;s;n;f;d;u
p;3,51;f;d;n;f;x;c;y;4,04;3;b;i;n;f;d;u
p;4,29;f;d;n;f;x;c;w;4,45;3,32;b;s;n;f;d;u
p;4,17;f;d;n;f;x;c;y;5,74;3,65;b;s;n;f;d;u
p;2,5;f;d;n;f;x;c;w;3,55;2,71;b;s;n;f;l;u
p;3,2;f;d;n;f;x;c;y;4,44;2,58;b;i;n;f;l;u
p;3,15;f;d;b;f;x;c;w;3,28;2,17;b;i;n;f;l;u
p;3,29;f;d;n;f;x;c;w;4,01;2,68;b;i;n;f;d;a
p;3,72;f;d;b;f;x;c;w;4,17;2,3;b;i;n;f;l;u
p;3,44;f;d;b;f;x;c;y;5,03;3,3;b;s;n;f;d;u
p;3,56;f;d;n;f;x;c;w;3,73;2,89;b;s;n;f;d;u
p;3,19;f;d;n;f;x;c;w;4,46;2,96;b;s;n;f;l;u
p;3,78;f;d;b;f;x;c;y;4,48;3,06;b;s;n;f;d;a
p;3,63;f;d;b;f;x;c;w;4,49;2,78;b;i;n;f;l;a
p;3,23;f;d;n;f;x;c;y;3,39;2,28;b;s;n;f;d;a
p;3,78;f;d;n;f;x;c;y;4,64;3,22;b;i;n;f;d;u
p;4,27;f;d;n;f;x;c;w;5,28;2,98;b;s;n;f;l;u
p;3,36;f;d;n;f;x;c;y;3,72;2,69;b;s;n;f;d;a
p;3,78;f;d;n;f;x;c;w;4,66;2,82;b;s;n;f;d;u
p;3,96;f;d;n;f;x;c;y;5,11;3,54;b;s;n;f;l;u
p;4,57;f;d;b;f;x;c;w;5,4;3,22;b;i;n;f;l;a
p;3,54;f;d;n;f;x;c;w;4,46;3,03;b;s;n;f;l;a
p;3,42;f;d;b;f;x;c;w;4,69;3,31;b;i;n;f;l;u
p;2,93;f;d;b;f;x;c;w;4,12;2,45;b;s;n;f;l;a
p;3,59;f;d;n;f;x;c;y;4,42;2,53;b;i;n;f;l;u
p;3,34;f;d;b;f;x;c;w;4,54;3,31;b;s;n;f;d;a
p;4,55;f;d;n;f;x;c;w;5,5;3,09;b;s;n;f;d;a
p;4,05;f;d;n;f;x;c;w;3,85;3,24;b;i;n;f;d;u
p;3,87;f;d;b;f;x;c;w;4,97;2,75;b;s;n;f;d;u
p;3,91;f;d;n;f;x;c;y;4,57;2,99;b;i;n;f;l;a
p;3,49;f;d;n;f;x;c;y;5,13;3,33;b;i;n;f;l;u
p;2,91;f;d;n;f;x;c;w;4,76;3,23;b;s;n;f;l;u
p;3,42;f;d;n;f;x;c;y;4,87;3,27;b;i;n;f;d;a
p;3,76;f;d;n;f;x;c;w;4,82;3,27;b;i;n;f;l;a
p;4,23;f;d;b;f;x;c;w;4,75;3,36;b;i;n;f;l;a
p;3,85;f;d;b;f;x;c;y;5,34;3,44;b;s;n;f;l;a
p;3,45;f;d;b;f;x;c;y;4,46;3,14;b;i;n;f;l;u
p;3,92;f;d;b;f;x;c;w;5,43;3,33;b;i;n;f;l;u
p;4,04;f;d;b;f;x;c;w;5,37;2,9;b;i;n;f;l;a
p;2,85;f;d;n;f;x;c;w;3,76;2,62;b;s;n;f;d;u
p;3,63;f;d;n;f;x;c;w;4,55;2,79;b;s;n;f;l;u
p;4,15;f;d;n;f;x;c;y;4,65;3,44;b;s;n;f;l;u
p;3,89;f;d;n;f;x;c;y;4,46;3,28;b;s;n;f;l;u
p;3,25;f;d;n;f;x;c;y;4,31;2,68;b;s;n;f;l;a
p;2,94;f;d;n;f;x;c;w;4,53;3,29;b;s;n;f;l;u
p;3,19;f;d;n;f;x;c;w;3,43;2,34;b;s;n;f;l;u
p;3,52;f;d;n;f;x;c;w;4,46;3,15;b;s;n;f;d;u
p;2,74;f;d;b;f;x;c;y;4,76;2,89;b;s;n;f;d;a
p;4,24;f;d;b;f;x;c;w;4,94;3,47;b;s;n;f;l;a
p;3,25;f;d;b;f;x;c;y;3,65;2,89;b;i;n;f;d;u
p;4,17;f;d;b;f;x;c;y;4,36;3,08;b;s;n;f;l;a
p;4,23;f;d;b;f;x;c;y;4,8;2,92;b;s;n;f;d;u
p;3,78;f;d;b;f;x;c;w;4,33;3,4;b;s;n;f;l;u
p;3,33;f;d;n;f;x;c;w;5,22;3,36;b;s;n;f;l;a
p;2,67;f;d;b;f;x;c;w;4,59;2,67;b;i;n;f;d;a
p;3,66;f;d;b;f;x;c;w;3,99;2,98;b;s;n;f;d;u
p;3,13;f;d;n;f;x;c;w;4,27;2,92;b;i;n;f;d;a
p;3,56;f;d;n;f;x;c;y;5,86;3,75;b;s;n;f;d;u
p;3,25;f;d;b;f;x;c;w;3,95;2,73;b;s;n;f;d;a
p;3,97;f;d;n;f;x;c;y;5,1;2,86;b;s;n;f;d;u
p;3,22;f;d;n;f;x;c;y;4,25;3,06;b;s;n;f;d;a
p;3,67;f;d;b;f;x;c;w;4,68;2,89;b;s;n;f;d;a
p;3,74;f;d;n;f;x;c;w;4,68;2,86;b;i;n;f;l;a
p;2,93;f;d;n;f;x;c;w;3,73;2,94;b;i;n;f;d;u
p;4,31;f;d;b;f;x;c;y;4,58;3,09;b;s;n;f;d;a
p;3,85;f;d;b;f;x;c;w;5,48;3,92;b;s;n;f;l;a
p;4,27;f;d;b;f;x;c;w;4,54;2,67;b;i;n;f;l;a
p;3,6;f;d;n;f;x;c;w;5;2,94;b;s;n;f;l;a
p;3,4;f;d;b;f;x;c;y;5,48;3,41;b;i;n;f;d;u
p;3,23;f;d;b;f;x;c;y;4,67;2,77;b;i;n;f;d;a
p;3,57;f;d;n;f;x;c;y;4,34;2,94;b;s;n;f;d;u
p;3,09;f;d;n;f;x;c;w;4,53;2,58;b;s;n;f;d;a
p;3,37;f;d;n;f;x;c;y;4,31;2,83;b;i;n;f;l;a
p;2,93;f;d;n;f;x;c;w;4,37;3,43;b;s;n;f;l;a
p;3,05;f;d;n;f;x;c;w;3,94;2,76;b;i;n;f;d;u
p;3,51;f;d;b;f;x;c;y;3,46;2,88;b;i;n;f;l;a
p;3,7;f;d;n;f;x;c;y;5,45;3,72;b;s;n;f;d;u
p;3,66;f;d;n;f;x;c;y;4,79;3,25;b;i;n;f;d;u
p;3,1;f;d;n;f;x;c;y;3,77;2,81;b;i;n;f;l;a
p;3,97;f;d;b;f;x;c;w;5,11;3,41;b;s;n;f;d;u
p;2,95;f;d;n;f;x;c;y;4,94;3,45;b;i;n;f;d;u
p;3,55;f;d;n;f;x;c;w;4,65;3,31;b;i;n;f;d;a
p;3,22;f;d;n;f;x;c;y;4,41;2,78;b;s;n;f;d;a
p;4,14;f;d;b;f;x;c;w;5,57;3,62;b;s;n;f;l;a
p;4,45;f;d;b;f;x;c;y;5,63;4,23;b;i;n;f;l;a
p;3,64;f;d;n;f;x;c;y;4,51;2,75;b;s;n;f;d;u
p;4,38;f;d;b;f;x;c;w;5,37;3,6;b;s;n;f;l;a
p;3,64;f;d;b;f;x;c;y;4,31;3,13;b;s;n;f;l;a
p;4,04;f;d;b;f;x;c;y;4,5;3,17;b;i;n;f;d;a
p;3,64;f;d;n;f;x;c;y;4,05;3,02;b;i;n;f;l;u
p;3,41;f;d;n;f;x;c;y;3,98;2,94;b;s;n;f;d;a
p;3,78;f;d;n;f;x;c;y;4,6;2,82;b;i;n;f;l;a
p;4,55;f;d;n;f;x;c;w;5,87;3,65;b;i;n;f;d;u
p;3,84;f;d;n;f;x;c;w;4,37;2,99;b;i;n;f;d;u
p;3,26;f;d;b;f;x;c;y;4,24;2,59;b;i;n;f;l;u
p;3,28;f;d;b;f;x;c;y;4,27;2,89;b;i;n;f;l;a
p;3,91;f;d;n;f;x;c;y;4,64;3,05;b;s;n;f;d;a
p;3,38;f;d;n;f;x;c;w;4,81;3,16;b;i;n;f;l;a
p;2,67;f;d;n;f;x;c;y;3,9;2,83;b;i;n;f;d;u
p;4,71;f;d;b;f;x;c;y;5,24;3,48;b;i;n;f;l;a
p;3,16;f;d;b;f;x;c;w;4,54;2,91;b;s;n;f;l;u
p;4;f;d;b;f;x;c;y;4,6;3,02;b;s;n;f;l;a
p;2,98;f;d;n;f;x;c;y;4,97;2,79;b;i;n;f;d;a
p;3,39;f;d;n;f;x;c;y;4,81;3,06;b;s;n;f;l;u
p;3,68;f;d;b;f;x;c;y;3,82;2,44;b;i;n;f;d;u
p;4,92;f;d;b;f;x;c;w;4,84;3,3;b;s;n;f;d;a
p;3,36;f;d;n;f;x;c;y;4,6;3,04;b;i;n;f;l;u
p;2,83;f;d;b;f;x;c;y;4,58;3,26;b;s;n;f;d;u
p;3,37;f;d;b;f;x;c;y;4,77;3,01;b;s;n;f;l;a
p;3,2;f;d;n;f;x;c;w;3,74;2,81;b;s;n;f;l;a
p;3,64;f;d;n;f;x;c;y;3,77;2,76;b;i;n;f;l;u
p;4,16;f;d;n;f;x;c;w;4,48;3,03;b;i;n;f;d;u
p;3,9;f;d;b;f;x;c;w;5,39;3,81;b;i;n;f;d;u
p;4,44;f;d;n;f;x;c;w;4,26;2,77;b;i;n;f;l;a
p;3,52;f;d;b;f;x;c;y;4,2;2,74;b;s;n;f;l;a
p;3,13;f;d;b;f;x;c;y;3,79;2,6;b;i;n;f;l;a
p;2,58;f;d;b;f;x;c;w;3,99;2,5;b;s;n;f;d;u
p;3,12;f;d;b;f;x;c;y;4,82;3,21;b;s;n;f;l;a
p;3,24;f;d;n;f;x;c;y;4,37;2,61;b;s;n;f;l;u
p;3,45;f;d;b;f;x;c;w;3,75;2,81;b;s;n;f;l;a
p;4,07;f;d;n;f;x;c;y;4,87;3,11;b;i;n;f;l;a
p;3,49;f;d;n;f;x;c;y;4,91;3,34;b;i;n;f;d;u
p;3,03;f;d;n;f;x;c;y;3,84;2,64;b;s;n;f;l;a
p;1,77;f;d;n;f;x;c;y;3,52;2,32;b;s;n;f;d;u
p;3,32;f;d;n;f;x;c;y;3,9;2,69;b;s;n;f;d;a
p;3,51;f;d;b;f;x;c;w;4,11;2,87;b;s;n;f;l;a
p;3,84;f;d;n;f;x;c;w;4,97;3,49;b;i;n;f;d;u
p;3,34;f;d;n;f;x;c;y;4,46;3,13;b;i;n;f;l;a
p;3,58;f;d;b;f;x;c;y;4,18;3;b;s;n;f;l;a
p;3,6;f;d;n;f;x;c;y;5,23;2,76;b;s;n;f;l;u
p;3,01;f;d;b;f;x;c;y;4,3;2,89;b;i;n;f;l;a
p;3,83;f;d;b;f;x;c;y;4,76;3,16;b;s;n;f;d;a
p;4,11;f;d;b;f;x;c;w;4,5;2,99;b;i;n;f;l;u
p;3,65;f;d;b;f;x;c;w;4,78;3,08;b;s;n;f;l;a
p;2,83;f;d;n;f;x;c;w;4,01;2,8;b;i;n;f;d;u
p;2,58;f;d;n;f;x;c;w;3,33;2,07;b;s;n;f;d;a
p;3,26;f;d;n;f;x;c;y;4,37;2,92;b;i;n;f;l;u
p;4;f;d;n;f;x;c;w;4,65;3,21;b;i;n;f;l;a
p;3,71;f;d;b;f;x;c;w;4,32;3,43;b;i;n;f;l;u
p;3,75;f;d;n;f;x;c;y;4,9;2,93;b;i;n;f;l;u
p;3,07;f;d;b;f;x;c;y;4,47;2,82;b;s;n;f;l;u
p;3,36;f;d;n;f;x;c;w;4,75;3,19;b;i;n;f;d;u
p;3,49;f;d;n;f;x;c;y;4,43;2,81;b;s;n;f;l;u
p;3,47;f;d;b;f;x;c;y;3,89;2,39;b;i;n;f;d;a
p;3,32;f;d;n;f;x;c;y;4,18;3,03;b;i;n;f;d;a
p;3,73;f;d;b;f;x;c;y;5,3;3,45;b;i;n;f;l;a
p;3,4;f;d;n;f;x;c;y;4,07;2,81;b;i;n;f;d;a
p;3,2;f;d;n;f;x;c;y;4,2;3,21;b;s;n;f;l;u
p;2,99;f;d;n;f;x;c;w;4;3,01;b;s;n;f;l;a
p;3,39;f;d;n;f;x;c;y;4,71;3,26;b;i;n;f;d;a
p;3,03;f;d;n;f;x;c;y;4,32;2,47;b;s;n;f;d;u
p;3,64;f;d;b;f;x;c;y;4,72;3,61;b;i;n;f;d;a
p;2,68;f;d;b;f;x;c;y;3,44;2,44;b;i;n;f;l;u
p;3,26;f;d;n;f;x;c;w;4,19;2,31;b;s;n;f;l;a
p;2,26;f;d;n;f;x;c;w;4,01;2,78;b;s;n;f;d;a
p;2,92;f;d;n;f;x;c;y;3,85;2,34;b;s;n;f;d;u
p;3,25;f;d;n;f;x;c;y;4,59;3,35;b;i;n;f;d;a
p;2,5;f;d;b;f;x;c;w;3,44;2,42;b;s;n;f;d;a
p;3,79;f;d;b;f;x;c;w;5,11;3,17;b;s;n;f;l;u
p;3,31;f;d;n;f;x;c;y;4,69;2,82;b;s;n;f;l;a
p;3,56;f;d;n;f;x;c;w;4,3;2,92;b;s;n;f;l;a
p;3,51;f;d;b;f;x;c;w;4,35;2,99;b;i;n;f;l;a
p;3,58;f;d;n;f;x;c;y;4,26;3,03;b;i;n;f;l;a
p;2,99;f;d;b;f;x;c;w;3,79;2,58;b;s;n;f;d;u
p;3,83;f;d;n;f;x;c;w;4,95;3,15;b;s;n;f;d;a
p;3,7;f;d;n;f;x;c;y;5,27;3,41;b;i;n;f;d;a
p;3,48;f;d;n;f;x;c;y;4,32;3,11;b;i;n;f;l;a
p;3,15;f;d;b;f;x;c;w;4,13;2,39;b;i;n;f;l;a
p;3,87;f;d;b;f;x;c;w;4,53;2,62;b;i;n;f;l;a
p;3,34;f;d;b;f;x;c;w;5,37;3,32;b;i;n;f;l;u
p;2,42;f;d;b;f;x;c;w;4,38;2,69;b;s;n;f;l;u
p;4,39;f;d;b;f;x;c;y;4;3,51;b;s;n;f;l;a
p;4,5;f;d;b;f;x;c;w;4,73;3,11;b;s;n;f;l;u
p;3,4;f;d;n;f;x;c;w;4,38;3,4;b;i;n;f;l;a
p;3,8;f;d;n;f;x;c;w;4,48;3;b;s;n;f;d;u
p;3,81;f;d;b;f;x;c;w;4,73;2,75;b;s;n;f;l;a
p;3,14;f;d;n;f;x;c;w;5,09;3,43;b;s;n;f;d;a
p;3,89;f;d;b;f;x;c;w;3,74;2,89;b;s;n;f;l;a
p;3,88;f;d;b;f;x;c;w;4,89;3,06;b;s;n;f;d;a
p;3,4;f;d;b;f;x;c;w;3,59;2,55;b;i;n;f;d;u
p;3,98;f;d;n;f;x;c;w;4,83;3,35;b;s;n;f;l;u
p;3,43;f;d;n;f;x;c;w;4,78;3,13;b;i;n;f;d;a
p;3,05;f;d;b;f;x;c;y;3,75;2,54;b;i;n;f;l;u
p;3,42;f;d;n;f;x;c;w;4,3;3,24;b;s;n;f;l;a
p;3,5;f;d;n;f;x;c;w;4,34;2,67;b;i;n;f;d;u
p;2,93;f;d;b;f;x;c;y;4,3;2,69;b;i;n;f;d;a
p;3,32;f;d;n;f;x;c;w;4,95;2,99;b;s;n;f;d;u
p;3,81;f;d;b;f;x;c;w;4,68;3,41;b;s;n;f;d;a
p;4;f;d;n;f;x;c;w;4,56;3,04;b;s;n;f;d;a
p;2,96;f;d;b;f;x;c;y;4,31;2,73;b;s;n;f;l;u
p;3,23;f;d;n;f;x;c;w;3,91;2,86;b;s;n;f;d;u
p;2,82;f;d;b;f;x;c;w;4,28;2,77;b;i;n;f;d;a
p;3,31;f;d;b;f;x;c;y;4,46;3,05;b;s;n;f;l;u
p;4,07;f;d;n;f;x;c;w;4,6;3,24;b;i;n;f;l;u
p;2,39;f;d;b;f;x;c;w;3,56;2,57;b;s;n;f;d;a
p;3,49;f;d;n;f;x;c;y;4,91;3,14;b;s;n;f;d;u
p;3,28;f;d;n;f;x;c;y;4,66;3,36;b;i;n;f;d;u
p;3,14;f;d;b;f;x;c;w;4,62;3,24;b;i;n;f;l;a
p;3,01;f;d;n;f;x;c;w;4,85;3,04;b;s;n;f;d;a
p;3,48;f;d;b;f;x;c;y;4,71;3,44;b;s;n;f;d;u
p;3,48;f;d;b;f;x;c;w;4,44;3,24;b;i;n;f;l;a
p;3,24;f;d;b;f;x;c;y;4,91;2,87;b;i;n;f;l;a
p;3,09;f;d;b;f;x;c;w;4,13;2,74;b;s;n;f;l;u
p;2,95;f;d;n;f;x;c;y;3,83;2,3;b;i;n;f;l;a
p;4,02;f;d;n;f;x;c;w;5,05;3,34;b;i;n;f;l;a
p;3,72;f;d;b;f;x;c;w;5,09;3,14;b;s;n;f;d;u
p;3,12;f;d;n;f;x;c;y;3,81;2,94;b;i;n;f;d;u
p;3,46;f;d;b;f;x;c;w;4,37;2,85;b;s;n;f;d;a
p;3,29;f;d;b;f;x;c;y;3,77;2,73;b;i;n;f;l;u
p;3,69;f;d;b;f;x;c;w;5,29;3,54;b;i;n;f;d;u
p;3,12;f;d;n;f;x;c;y;3,93;2,69;b;s;n;f;l;u
p;3,85;f;d;b;f;x;c;y;4,33;2,68;b;s;n;f;l;u
p;3,72;f;d;n;f;x;c;w;4,87;3,61;b;s;n;f;d;u
p;3,74;f;d;b;f;x;c;w;4,64;3,15;b;i;n;f;d;a
p;2,45;f;d;b;f;x;c;y;3,65;2,45;b;s;n;f;l;a
p;2,47;f;d;b;f;x;c;y;4,14;2,6;b;s;n;f;d;a
p;3,1;f;d;b;f;x;c;y;4,92;2,64;b;s;n;f;d;u
p;3,66;f;d;b;f;x;c;y;4,4;2,74;b;s;n;f;l;u
p;2,53;f;d;n;f;x;c;y;4,75;2,88;b;s;n;f;l;u
p;3,28;f;d;n;f;x;c;w;4,87;3,19;b;i;n;f;l;a
p;3,66;f;d;b;f;x;c;w;4,23;3;b;i;n;f;l;u
p;3,27;f;d;n;f;x;c;y;4,21;3,03;b;s;n;f;l;a
